,display_name,name,start_date,end_date,type
512550.XSHG,A50基金,FSA50,2017-08-07,2200-01-01,etf
512560.XSHG,中证军工,ZZJG,2017-07-28,2200-01-01,etf
512570.XSHG,中证证券,ZZZQ,2017-08-11,2200-01-01,etf
512580.XSHG,碳中和,HBETF,2017-02-28,2200-01-01,etf
512590.XSHG,高股息,GGX,2019-03-08,2200-01-01,etf
512600.XSHG,必选消费,ZYXF,2014-07-25,2200-01-01,etf
512610.XSHG,医药卫生,YYWS,2014-07-25,2200-01-01,etf
512640.XSHG,金融地产,JRDC,2014-07-25,2200-01-01,etf
512650.XSHG,长三角,CSJ,2019-10-25,2200-01-01,etf
512660.XSHG,军工ETF,JGETF,2016-08-08,2200-01-01,etf
512670.XSHG,国防ETF,GFETF,2019-08-01,2200-01-01,etf
512680.XSHG,军工基金,JGJJ,2016-10-14,2200-01-01,etf
512690.XSHG,酒ETF,JETF,2019-05-06,2200-01-01,etf
512700.XSHG,银行基金,YHJJ,2017-07-26,2200-01-01,etf
512710.XSHG,军工龙头,JGLT,2019-08-26,2200-01-01,etf
512720.XSHG,计算机,JSJ,2019-08-16,2200-01-01,etf
512730.XSHG,银行FUND,YHFUND,2020-02-07,2200-01-01,etf
512750.XSHG,基本面50,JBM50,2019-07-05,2200-01-01,etf
512760.XSHG,芯片ETF,BDT50,2019-06-12,2200-01-01,etf
512770.XSHG,战略新兴,ZLXX,2018-08-16,2200-01-01,etf
512780.XSHG,京津冀基,JJJJ,2018-05-24,2200-01-01,etf
512790.XSHG,民企成长,MQCZ,2019-09-06,2020-07-30,etf
512800.XSHG,银行ETF,YHETF,2017-08-03,2200-01-01,etf
512810.XSHG,国防军工,JGXY,2016-08-22,2200-01-01,etf
512820.XSHG,银行股基,YHGJ,2018-11-23,2200-01-01,etf
512850.XSHG,北京50,BJ50,2018-11-09,2021-02-18,etf
512860.XSHG,MSCI中国,MSCIZG,2018-10-26,2021-04-29,etf
512870.XSHG,杭州湾区,HZWQ,2019-02-22,2200-01-01,etf
512880.XSHG,证券ETF,ZQETF,2016-08-08,2200-01-01,etf
512890.XSHG,红利LV,HLLV,2019-01-18,2200-01-01,etf
512900.XSHG,证券基金,ZQJJ,2017-03-31,2200-01-01,etf
512910.XSHG,100ETF,100ETF,2019-07-01,2200-01-01,etf
512920.XSHG,MSCI新华,MSCIXH,2018-12-07,2200-01-01,etf
512930.XSHG,AIETF,AIETF,2019-08-23,2200-01-01,etf
512950.XSHG,央企改革,YQGG,2019-01-18,2200-01-01,etf
512960.XSHG,央调ETF,YTETF,2019-01-18,2200-01-01,etf
512970.XSHG,湾区ETF,WQETF,2019-11-11,2200-01-01,etf
512980.XSHG,传媒ETF,CMETF,2018-01-19,2200-01-01,etf
512990.XSHG,MSCIA股,MSCIAG,2015-03-25,2200-01-01,etf
513000.XSHG,225ETF,225ETF,2019-06-25,2200-01-01,etf
513010.XSHG,港股科技,GGKJ,2021-05-25,2200-01-01,etf
513020.XSHG,科技HK,KJHK,2022-02-08,2200-01-01,etf
513030.XSHG,德国ETF,DG30,2014-09-05,2200-01-01,etf
513050.XSHG,中概互联,ZGHL,2017-01-18,2200-01-01,etf
513060.XSHG,恒生医疗,HSYL,2021-03-29,2200-01-01,etf
513080.XSHG,法国ETF,FGCAC40ETF,2020-06-12,2200-01-01,etf
513090.XSHG,香港证券,XGZQ,2020-03-26,2200-01-01,etf
513100.XSHG,纳指ETF,NZETF,2013-05-15,2200-01-01,etf
513130.XSHG,恒生科技,HSKJ,2021-06-01,2200-01-01,etf
513150.XSHG,港科技50,GKJ50,2022-02-11,2200-01-01,etf
513160.XSHG,科技30,KJ30,2022-02-09,2200-01-01,etf
513180.XSHG,恒指科技,HZKJ,2021-05-25,2200-01-01,etf
513200.XSHG,港股医药,GGYY,2022-02-11,2200-01-01,etf
513230.XSHG,H股消费,HGXF,2022-01-24,2200-01-01,etf
513300.XSHG,纳斯达克ETF,NSDKETF,2020-11-05,2200-01-01,etf
513330.XSHG,恒生互联,HSHL,2021-02-08,2200-01-01,etf
513360.XSHG,教育ETF,JYETF,2021-06-17,2200-01-01,etf
513500.XSHG,标普500,BP500,2014-01-15,2200-01-01,etf
513520.XSHG,日经ETF,RJETF,2019-06-25,2200-01-01,etf
513550.XSHG,港股通50,GGT50,2021-01-13,2200-01-01,etf
513580.XSHG,HS科技,HSKJ,2021-05-27,2200-01-01,etf
513590.XSHG,香港消费,XGXF,2021-08-19,2200-01-01,etf
513600.XSHG,恒指ETF,HZETF,2015-01-26,2200-01-01,etf
513660.XSHG,恒生通,HST,2015-01-26,2200-01-01,etf
513680.XSHG,建信H股,JXHG,2019-01-21,2200-01-01,etf
513690.XSHG,恒生股息,HSGX,2021-05-20,2200-01-01,etf
513700.XSHG,香港医药,XGYY,2021-08-06,2200-01-01,etf
513800.XSHG,东证ETF,DZETF,2019-06-25,2200-01-01,etf
513860.XSHG,HKC科技,HKCKJ,2021-07-02,2200-01-01,etf
513880.XSHG,日经225,RJ225,2019-06-25,2200-01-01,etf
513890.XSHG,HK科技,HKKJ,2022-01-21,2200-01-01,etf
513900.XSHG,港股100,GG100,2018-05-25,2200-01-01,etf
513980.XSHG,科技港股,KJGG,2021-07-02,2200-01-01,etf
513990.XSHG,港股通综,GGTZ,2020-08-18,2200-01-01,etf
515000.XSHG,科技ETF,KJETF,2019-08-16,2200-01-01,etf
515010.XSHG,华夏证券,HXZQ,2019-11-07,2200-01-01,etf
515020.XSHG,华夏银基,HXYJ,2019-12-03,2200-01-01,etf
515030.XSHG,新汽车,XQC,2020-03-04,2200-01-01,etf
515050.XSHG,5GETF,5GETF,2019-10-16,2200-01-01,etf
515060.XSHG,华夏地产,HXDC,2020-01-03,2200-01-01,etf
515070.XSHG,AI智能,AIZN,2019-12-24,2200-01-01,etf
515080.XSHG,中证红利,ZZHL,2019-12-27,2200-01-01,etf
515090.XSHG,可持续,KCX,2020-02-20,2200-01-01,etf
515100.XSHG,低波红利ETF,DBHLETF,2020-07-03,2200-01-01,etf
515110.XSHG,国企方达,GQFD,2020-01-15,2200-01-01,etf
515120.XSHG,创新药,CXY,2021-01-04,2200-01-01,etf
515130.XSHG,HS300E,HS300E,2020-05-11,2200-01-01,etf
515150.XSHG,国企富国,GQFG,2020-01-15,2200-01-01,etf
515160.XSHG,MSCICHNA,MSCICHNA,2020-03-02,2200-01-01,etf
515170.XSHG,食品饮料,SPYLETF,2021-01-13,2200-01-01,etf
515180.XSHG,100红利,100HL,2019-12-20,2200-01-01,etf
515190.XSHG,BOCI500,BOCI500,2020-05-27,2200-01-01,etf
515200.XSHG,创新100,CX100,2019-11-15,2200-01-01,etf
515210.XSHG,钢铁ETF,GTETF,2020-03-02,2200-01-01,etf
515220.XSHG,煤炭ETF,MTETF,2020-03-02,2200-01-01,etf
515230.XSHG,软件ETF,RJETF,2021-03-02,2200-01-01,etf
515250.XSHG,智能汽车,ZNQC,2021-01-08,2200-01-01,etf
515260.XSHG,电子ETF,DZETF,2020-07-31,2200-01-01,etf
515280.XSHG,银行龙头,YHHY,2020-04-17,2200-01-01,etf
515290.XSHG,银行,YHTH,2020-12-28,2200-01-01,etf
515300.XSHG,红利300,HL300,2019-09-19,2200-01-01,etf
515310.XSHG,添富300,TF300,2019-12-25,2200-01-01,etf
515320.XSHG,电子50,DZ50,2021-01-08,2200-01-01,etf
515330.XSHG,天弘300,TH300,2019-12-26,2200-01-01,etf
515350.XSHG,民生300,MS300,2020-02-07,2200-01-01,etf
515360.XSHG,方正300,FZ300,2019-11-01,2200-01-01,etf
515380.XSHG,泰康300,TK300,2020-03-23,2200-01-01,etf
515390.XSHG,HS300,HS300,2020-01-10,2200-01-01,etf
515400.XSHG,大数据,DSJ,2021-01-20,2200-01-01,etf
515450.XSHG,红利50,HL50,2020-02-26,2200-01-01,etf
515500.XSHG,长三角LX,CSJLX,2020-09-18,2200-01-01,etf
515510.XSHG,500成长,500CZ,2020-05-06,2200-01-01,etf
515520.XSHG,价值100,JZ100,2019-11-18,2200-01-01,etf
515530.XSHG,泰康500,TK500,2020-11-09,2200-01-01,etf
515550.XSHG,中融500,ZR500,2019-12-25,2200-01-01,etf
515560.XSHG,证券E,ZQE,2020-07-20,2200-01-01,etf
515570.XSHG,山证红利,SZHL,2020-04-09,2200-01-01,etf
515580.XSHG,中证科技,ZZKJ,2019-10-28,2200-01-01,etf
515590.XSHG,500ETFEW,500ETFEW,2020-01-20,2200-01-01,etf
515600.XSHG,央企创新,YQCX,2019-12-18,2200-01-01,etf
515610.XSHG,中银800,ZY800,2020-08-18,2200-01-01,etf
515620.XSHG,ZZ800,ZZ800,2020-05-25,2021-06-07,etf
515630.XSHG,证保ETF,ZBETF,2020-04-03,2200-01-01,etf
515650.XSHG,消费50,XF50,2019-11-11,2200-01-01,etf
515660.XSHG,沪深300E,HS300E,2019-12-24,2200-01-01,etf
515670.XSHG,中银100,ZY100,2020-05-20,2200-01-01,etf
515680.XSHG,创新央企,CXYQ,2019-12-18,2200-01-01,etf
515690.XSHG,股息ETF,GXLT,2020-05-13,2200-01-01,etf
515700.XSHG,新能车,XNC,2020-02-10,2200-01-01,etf
515710.XSHG,食品ETF,SPETF,2021-01-07,2200-01-01,etf
515750.XSHG,科技50,KJ50,2019-12-06,2200-01-01,etf
515760.XSHG,浙江国资,ZJGZ,2020-10-12,2200-01-01,etf
515770.XSHG,MSCIAETF,MSCIAETF,2020-06-19,2200-01-01,etf
515780.XSHG,浦银MSCI,PYMSCI,2020-05-29,2200-01-01,etf
515790.XSHG,光伏ETF,GFETF,2020-12-18,2200-01-01,etf
515800.XSHG,800ETF,800ETF,2019-12-16,2200-01-01,etf
515810.XSHG,ZZ800ETF,ZZ800ETF,2019-10-25,2200-01-01,etf
515820.XSHG,沪深800,800ETFJJ,2020-05-29,2200-01-01,etf
515830.XSHG,工银中证800ETF,GYZZ800ETF,2020-07-17,2200-01-01,etf
515850.XSHG,证券龙头,ZQFG,2020-02-21,2200-01-01,etf
515860.XSHG,科技100,KJ100,2019-10-22,2200-01-01,etf
515870.XSHG,制造100,ZZ100,2020-01-17,2200-01-01,etf
515880.XSHG,通信ETF,TXETF,2019-09-06,2200-01-01,etf
515890.XSHG,红利博时,BSHL,2020-04-20,2200-01-01,etf
515900.XSHG,央创ETF,YCETF,2019-12-18,2200-01-01,etf
515910.XSHG,质量ETF,ZLETF,2021-02-26,2200-01-01,etf
515920.XSHG,智能消费,ZNXF,2021-01-20,2200-01-01,etf
515930.XSHG,永赢300,YY300,2020-05-08,2200-01-01,etf
515950.XSHG,医药龙头,YY50FG,2020-04-01,2200-01-01,etf
515960.XSHG,医药100,YY100,2020-06-10,2200-01-01,etf
515980.XSHG,人工智能,RGZN,2020-02-10,2200-01-01,etf
515990.XSHG,添富国企,TFGQ,2020-01-15,2200-01-01,etf
516000.XSHG,大数据50,DSJ50,2021-03-01,2200-01-01,etf
516010.XSHG,游戏ETF,YXETF,2021-03-05,2200-01-01,etf
516020.XSHG,化工ETF,HGETF,2021-03-08,2200-01-01,etf
516050.XSHG,科技龙头,KJLT,2021-02-05,2200-01-01,etf
516060.XSHG,新药ETF,XYETF,2021-03-01,2200-01-01,etf
516070.XSHG,碳中和50,DTETF,2021-04-23,2200-01-01,etf
516080.XSHG,创新医药,CXYY,2021-02-23,2200-01-01,etf
516090.XSHG,新能源E,XNYE,2021-03-19,2200-01-01,etf
516100.XSHG,科技金融,KJJR,2021-07-23,2200-01-01,etf
516110.XSHG,汽车ETF,QCETF,2021-05-07,2200-01-01,etf
516120.XSHG,化工50,HG50,2021-03-09,2200-01-01,etf
516130.XSHG,消费龙头,XFLT,2021-10-13,2200-01-01,etf
516150.XSHG,稀土基金,XTCY,2021-03-17,2200-01-01,etf
516160.XSHG,新能源,XNY,2021-02-04,2200-01-01,etf
516180.XSHG,光伏产业,GFCY,2021-03-03,2200-01-01,etf
516190.XSHG,文娱ETF,WYETF,2021-09-17,2200-01-01,etf
516200.XSHG,证券行业,ZQHY,2021-03-22,2200-01-01,etf
516210.XSHG,银行股,YHG,2021-09-24,2200-01-01,etf
516220.XSHG,化工龙头,HGLT,2021-03-10,2200-01-01,etf
516260.XSHG,物联网50,WLW50,2021-08-02,2200-01-01,etf
516270.XSHG,新能源50,XNY50,2021-07-23,2200-01-01,etf
516290.XSHG,光伏基金,GFJJ,2021-08-23,2200-01-01,etf
516300.XSHG,中证1000,ZZ1000,2021-03-24,2200-01-01,etf
516310.XSHG,银行指基,YHZJ,2021-05-28,2200-01-01,etf
516320.XSHG,装备ETF,ZBETF,2021-06-08,2200-01-01,etf
516330.XSHG,物联网,WLW,2021-04-09,2200-01-01,etf
516350.XSHG,芯片50,XP50,2021-12-23,2200-01-01,etf
516360.XSHG,新材料ETF,XCLETF,2021-05-13,2200-01-01,etf
516380.XSHG,智能电车,ZNDC,2021-06-18,2200-01-01,etf
516390.XSHG,电动车,DDC,2021-06-18,2200-01-01,etf
516400.XSHG,ESG龙头,ESGLT,2021-07-01,2022-01-25,etf
516480.XSHG,新材料基,XCLJ,2021-06-11,2200-01-01,etf
516500.XSHG,生物ETF,SWETF,2021-03-17,2200-01-01,etf
516510.XSHG,云计算,YJS,2021-04-07,2200-01-01,etf
516520.XSHG,智能驾驶,AIZNC,2021-03-01,2200-01-01,etf
516530.XSHG,物流快递,WLKD,2022-01-17,2200-01-01,etf
516550.XSHG,农业ETF,NYETF,2021-04-08,2200-01-01,etf
516560.XSHG,养老ETF,YLETF,2021-09-16,2200-01-01,etf
516570.XSHG,石化ETF,SHETF,2021-06-18,2200-01-01,etf
516580.XSHG,新能源BS,XNYBS,2021-07-26,2200-01-01,etf
516590.XSHG,电动汽车,DDQC,2021-05-12,2200-01-01,etf
516600.XSHG,消服ETF,XFETF,2021-02-26,2200-01-01,etf
516610.XSHG,医服ETF,YFETF,2021-05-13,2200-01-01,etf
516620.XSHG,影视ETF,YSETF,2021-11-05,2200-01-01,etf
516630.XSHG,云计算50,YJS50,2021-09-03,2200-01-01,etf
516640.XSHG,芯片龙头,XPLT,2021-08-27,2200-01-01,etf
516650.XSHG,有色50,YS50,2021-06-21,2200-01-01,etf
516660.XSHG,新能汽车,XNQC,2021-02-26,2200-01-01,etf
516670.XSHG,畜牧养殖,XMYZ,2021-03-26,2200-01-01,etf
516680.XSHG,有色金属,YSJS,2021-03-08,2200-01-01,etf
516690.XSHG,化工产业,HGCY,2021-12-21,2200-01-01,etf
516700.XSHG,数据产业,SJCY,2021-05-19,2200-01-01,etf
516710.XSHG,新材料50,XCL50,2021-08-17,2200-01-01,etf
516720.XSHG,ESGETF,ESGETF,2021-08-13,2200-01-01,etf
516730.XSHG,证券公司,ZQGS,2021-11-12,2200-01-01,etf
516750.XSHG,建材ETF,JCETF,2021-11-05,2200-01-01,etf
516760.XSHG,养殖ETF,YZETF,2021-03-12,2200-01-01,etf
516770.XSHG,游戏动漫,YXDM,2021-03-05,2200-01-01,etf
516780.XSHG,稀土ETF,XTETF,2021-03-08,2200-01-01,etf
516790.XSHG,保健ETF,BJETF,2021-08-23,2200-01-01,etf
516800.XSHG,智能制造ETF,ZNZZETF,2021-02-19,2200-01-01,etf
516810.XSHG,农业,NY,2022-01-11,2200-01-01,etf
516820.XSHG,医疗创新,YLCX,2021-07-01,2200-01-01,etf
516830.XSHG,300ESG,300ESG,2021-07-05,2200-01-01,etf
516850.XSHG,新能源80,XNY80,2021-03-19,2200-01-01,etf
516860.XSHG,金融科技,JRKJ,2021-10-11,2200-01-01,etf
516870.XSHG,汽车,QC,2021-07-09,2022-01-25,etf
516880.XSHG,光伏50,GF50,2021-01-18,2200-01-01,etf
516890.XSHG,新材ETF,XCETF,2021-07-28,2200-01-01,etf
516900.XSHG,食品50,SP50,2021-04-28,2200-01-01,etf
516910.XSHG,物流ETF,WLETF,2021-06-11,2200-01-01,etf
516920.XSHG,芯片基金,XPJJ,2021-08-16,2200-01-01,etf
516930.XSHG,生科ETF,SKETF,2021-08-18,2200-01-01,etf
516950.XSHG,基建ETF,JJETF,2021-05-14,2200-01-01,etf
516960.XSHG,机械ETF,JXETF,2021-05-07,2200-01-01,etf
516970.XSHG,基建50,JJ50,2021-07-05,2200-01-01,etf
516980.XSHG,证券先锋,ZQXF,2021-06-24,2200-01-01,etf
517000.XSHG,沪港深,HGS,2021-03-05,2200-01-01,etf
517010.XSHG,HGS500E,HGS500E,2021-08-12,2200-01-01,etf
517030.XSHG,HGS300,HGS300,2021-09-27,2200-01-01,etf
517050.XSHG,互联网50,HLW50,2021-02-08,2200-01-01,etf
517060.XSHG,沪港深ET,HGSET,2021-03-26,2200-01-01,etf
517080.XSHG,HGS500,HGS500,2021-02-22,2200-01-01,etf
517090.XSHG,共赢ETF,GYETF,2021-12-28,2200-01-01,etf
517100.XSHG,AH500ETF,AH500ETF,2021-03-02,2200-01-01,etf
517110.XSHG,创新药HK,CXYHK,2021-09-30,2200-01-01,etf
517120.XSHG,创新药50,CXY50,2021-07-19,2200-01-01,etf
517160.XSHG,长江保护主题ETF,CJBHZTETF,2022-01-05,2200-01-01,etf
517170.XSHG,沪港深E,HGSE,2021-04-20,2200-01-01,etf
517180.XSHG,开放共赢ETF,KFGYETF,2021-12-28,2200-01-01,etf
517200.XSHG,互联网,HLW,2021-02-08,2200-01-01,etf
517270.XSHG,科技TOP,KJTOP,2022-01-12,2200-01-01,etf
517280.XSHG,网购ETF,WGETF,2021-12-03,2200-01-01,etf
517300.XSHG,AH300ETF,AH300ETF,2021-02-24,2200-01-01,etf
517330.XSHG,长江保护,CJBH,2022-01-05,2200-01-01,etf
517350.XSHG,中概科技,ZGKJ,2021-06-03,2200-01-01,etf
517360.XSHG,AH科技,AHKJ,2021-07-05,2200-01-01,etf
517380.XSHG,创新药AH,CXYAH,2021-08-09,2200-01-01,etf
517390.XSHG,云计算AH,YJSAH,2021-12-23,2200-01-01,etf
517550.XSHG,消费主题,XFZT,2022-02-08,2200-01-01,etf
517660.XSHG,物联网AH,WLWAH,2021-10-25,2200-01-01,etf
517770.XSHG,游戏传媒,YXCM,2021-12-03,2200-01-01,etf
517800.XSHG,AI50,AI50,2021-08-26,2200-01-01,etf
517880.XSHG,品牌消费,PPXF,2021-12-01,2200-01-01,etf
517960.XSHG,科技AH,KJAH,2021-12-23,2200-01-01,etf
518600.XSHG,上海金,SHJ,2020-08-05,2200-01-01,etf
518660.XSHG,工银黄金,GYHJ,2020-05-29,2200-01-01,etf
518680.XSHG,金ETF,SHJAU,2020-07-28,2200-01-01,etf
518800.XSHG,黄金基金,GTHJ,2013-07-29,2200-01-01,etf
518850.XSHG,黄金9999,HJ9999,2020-06-05,2200-01-01,etf
518860.XSHG,上海金E,SHJE,2020-09-07,2200-01-01,etf
518880.XSHG,黄金ETF,HJETF,2013-07-29,2200-01-01,etf
518890.XSHG,中银黄金,ZYHJ,2020-09-28,2200-01-01,etf
560000.XSHG,智慧电车,ZHDC,2021-09-30,2200-01-01,etf
560050.XSHG,MSCIA50,MSCIA50,2021-11-08,2200-01-01,etf
560500.XSHG,500质量,500ETFJ,2021-09-01,2200-01-01,etf
560560.XSHG,碳中和TK,TZHTK,2021-09-13,2200-01-01,etf
560660.XSHG,云50ETF,Y50ETF,2021-08-25,2200-01-01,etf
560800.XSHG,数字ETF,SZETF,2022-01-07,2200-01-01,etf
561100.XSHG,电子龙头,DZLT,2022-02-08,2200-01-01,etf
561130.XSHG,国货ETF,GHETF,2021-10-18,2200-01-01,etf
561300.XSHG,300增ETF,300ZETF,2021-12-10,2200-01-01,etf
561310.XSHG,消电ETF,XDETF,2021-11-25,2200-01-01,etf
561350.XSHG,国泰500,GT500,2021-09-01,2200-01-01,etf
561500.XSHG,漂亮50,PL50,2021-06-28,2200-01-01,etf
561550.XSHG,500指增,500ZZ,2021-12-10,2200-01-01,etf
561600.XSHG,消费电子,XFDZ,2021-09-09,2200-01-01,etf
561800.XSHG,稀金属,XJS,2021-08-24,2200-01-01,etf
561900.XSHG,沪深ESG,HSESG,2021-07-15,2200-01-01,etf
561910.XSHG,电池ETF,DCETF,2021-08-12,2200-01-01,etf
561990.XSHG,300增强,300ZQ,2021-12-10,2200-01-01,etf
562300.XSHG,低碳ETF,DTETF,2022-01-05,2200-01-01,etf
562360.XSHG,机器人50,JQR50,2021-10-15,2200-01-01,etf
562500.XSHG,机器人,JQR,2021-12-29,2200-01-01,etf
562510.XSHG,旅游ETF,LYETF,2021-12-30,2200-01-01,etf
562800.XSHG,稀有金属,XYJS,2021-09-27,2200-01-01,etf
562880.XSHG,电池基金,DCLT,2021-07-20,2200-01-01,etf
562900.XSHG,现代农业,XDNY,2021-12-13,2200-01-01,etf
562910.XSHG,高端制造,GDZZ,2022-01-10,2200-01-01,etf
562950.XSHG,消电50,XD50,2022-01-20,2200-01-01,etf
563000.XSHG,中国A50,ZGA50,2021-11-08,2200-01-01,etf
588000.XSHG,科创50,KC50,2020-11-16,2200-01-01,etf
588050.XSHG,科创ETF,KCETF,2020-11-16,2200-01-01,etf
588060.XSHG,上证科创,SZKC,2021-07-29,2200-01-01,etf
588080.XSHG,科创板50,KCB50,2020-11-16,2200-01-01,etf
588090.XSHG,科创板,KCB,2020-11-16,2200-01-01,etf
588150.XSHG,科创龙头ETF,KCLTETF,2021-12-20,2200-01-01,etf
588180.XSHG,科创50基,KC50J,2021-07-01,2200-01-01,etf
588280.XSHG,科创五零,KCWL,2021-10-29,2200-01-01,etf
588300.XSHG,双创ETF,SCETF,2021-07-05,2200-01-01,etf
588310.XSHG,双创基金,SCJJ,2021-12-02,2200-01-01,etf
588330.XSHG,双创龙头,SCLT,2021-07-06,2200-01-01,etf
588360.XSHG,创创ETF,CCETF,2021-07-06,2200-01-01,etf
588380.XSHG,创50ETF,C50ETF,2021-07-06,2200-01-01,etf
588390.XSHG,科创创业,KCCY,2021-08-30,2200-01-01,etf
588400.XSHG,双创50,SC50,2021-07-05,2200-01-01,etf
