,display_name,name,start_date,end_date,type
159805.XSHE,传媒ETF,CMETF,2020-04-17,2200-01-01,etf
159806.XSHE,新能源车ETF,XNC,2020-03-20,2200-01-01,etf
159807.XSHE,科技ETF,KJETF,2020-03-30,2200-01-01,etf
159808.XSHE,创业板ETF融通,CYBRT,2020-09-04,2200-01-01,etf
159809.XSHE,大湾区ETF基金,HSWQ,2020-05-21,2021-10-20,etf
159810.XSHE,浦银创业板ETF,PYCY,2020-07-10,2200-01-01,etf
159811.XSHE,5G50ETF,5G50ETF,2020-04-22,2200-01-01,etf
159812.XSHE,黄金基金ETF,HJJJ,2020-05-29,2200-01-01,etf
159813.XSHE,半导体ETF,XP,2020-05-25,2200-01-01,etf
159814.XSHE,创业大盘ETF,CYDP,2020-07-17,2200-01-01,etf
159815.XSHE,浙江100ETF,ZJ100,2020-08-18,2200-01-01,etf
159816.XSHE,0-4地债ETF,0-4DZ,2020-09-04,2200-01-01,etf
159819.XSHE,人工智能ETF,AIZN,2020-09-23,2200-01-01,etf
159820.XSHE,中证500ETF天弘,500ETFJ,2020-08-24,2200-01-01,etf
159821.XSHE,BOCI创业板ETF,BOCICY,2020-10-29,2200-01-01,etf
159822.XSHE,新经济ETF,XJJ,2020-10-23,2200-01-01,etf
159823.XSHE,H股ETF基金,HG50ETF,2020-10-23,2200-01-01,etf
159824.XSHE,新能车ETF,XNQC,2021-01-11,2200-01-01,etf
159825.XSHE,农业ETF,NYETF,2020-12-29,2200-01-01,etf
159827.XSHE,农业50ETF,NY50,2020-12-18,2200-01-01,etf
159828.XSHE,医疗ETF,YLETF,2021-01-12,2200-01-01,etf
159830.XSHE,上海金ETF,SHJ,2021-07-19,2200-01-01,etf
159835.XSHE,创新药50ETF,CXYY,2021-03-29,2200-01-01,etf
159836.XSHE,创300ETF,C300ETF,2021-05-25,2200-01-01,etf
159837.XSHE,生物科技ETF,SWKJ,2021-01-27,2200-01-01,etf
159838.XSHE,医药ETF基金,YY50,2021-07-30,2200-01-01,etf
159839.XSHE,生物药ETF,SWY,2021-02-22,2200-01-01,etf
159840.XSHE,锂电池ETF,LDC50,2021-08-20,2200-01-01,etf
159841.XSHE,证券ETF,ZQETF,2021-02-09,2200-01-01,etf
159842.XSHE,券商ETF,QSETF,2021-03-19,2200-01-01,etf
159843.XSHE,食品饮料ETF,SPYL,2021-02-05,2200-01-01,etf
159845.XSHE,中证1000ETF,ZZ1000,2021-03-31,2200-01-01,etf
159846.XSHE,中证1000ETF基金,1000ETF,2021-08-16,2022-01-04,etf
159847.XSHE,医疗50ETF,ZZYL,2021-07-19,2200-01-01,etf
159848.XSHE,证券ETF基金,ZQGS,2021-03-12,2200-01-01,etf
159849.XSHE,生物科技ETF招商,SWETF,2021-03-02,2200-01-01,etf
159850.XSHE,恒生国企ETF,HG50,2021-02-19,2200-01-01,etf
159851.XSHE,金融科技ETF,JKETF,2021-03-19,2200-01-01,etf
159852.XSHE,软件ETF,RJETF,2021-02-09,2200-01-01,etf
159853.XSHE,科技100ETF,KJETF,2021-10-15,2200-01-01,etf
159855.XSHE,影视ETF,YSETF,2021-02-26,2200-01-01,etf
159856.XSHE,互联网龙头ETF,HLW50,2021-02-01,2200-01-01,etf
159857.XSHE,光伏ETF,GFETF,2021-02-24,2200-01-01,etf
159858.XSHE,创新药指ETF,CXYZ,2021-03-25,2200-01-01,etf
159859.XSHE,生物医药ETF,SWY30,2021-07-07,2200-01-01,etf
159861.XSHE,碳中和50ETF,HBETF,2021-04-02,2200-01-01,etf
159862.XSHE,食品ETF,SPETF,2021-11-08,2200-01-01,etf
159863.XSHE,光伏ETF基金,GFCY,2021-03-11,2200-01-01,etf
159864.XSHE,光伏50ETF,GF50,2021-08-10,2200-01-01,etf
159865.XSHE,养殖ETF,YZETF,2021-03-08,2200-01-01,etf
159866.XSHE,日经ETF,RJETF,2021-04-08,2200-01-01,etf
159867.XSHE,畜牧ETF,XMETF,2021-03-05,2200-01-01,etf
159869.XSHE,游戏ETF,YXETF,2021-03-05,2200-01-01,etf
159870.XSHE,化工ETF,HGETF,2021-03-03,2200-01-01,etf
159871.XSHE,有色金属ETF,YSJS,2021-03-31,2200-01-01,etf
159872.XSHE,车联网ETF,CLW,2021-07-01,2200-01-01,etf
159873.XSHE,医疗设备ETF,YLSB,2021-03-29,2200-01-01,etf
159875.XSHE,新能源ETF,XNY,2021-08-17,2200-01-01,etf
159876.XSHE,有色龙头ETF,YS,2021-03-24,2200-01-01,etf
159877.XSHE,医疗产业ETF,YLCYETF,2021-11-03,2200-01-01,etf
159880.XSHE,有色ETF基金,YS50,2021-03-25,2200-01-01,etf
159881.XSHE,有色60ETF,YS60,2021-07-01,2200-01-01,etf
159883.XSHE,医疗器械ETF,YLQX,2021-04-30,2200-01-01,etf
159885.XSHE,碳中和ETF基金,DTETF,2021-04-14,2200-01-01,etf
159886.XSHE,机械ETF,JXETF,2021-04-28,2200-01-01,etf
159887.XSHE,银行ETF,YHETF,2021-05-20,2200-01-01,etf
159888.XSHE,智能车ETF,ZNC,2021-05-21,2200-01-01,etf
159889.XSHE,智能汽车ETF,ZNQCETF,2021-09-09,2200-01-01,etf
159890.XSHE,云计算ETF,YETF,2021-04-02,2200-01-01,etf
159891.XSHE,医疗ETF基金,YL,2021-06-15,2200-01-01,etf
159892.XSHE,恒生生物科技ETF,HSSWKJETF,2021-10-19,2200-01-01,etf
159895.XSHE,物联网50ETF,WLW50ETF,2021-10-21,2200-01-01,etf
159896.XSHE,物联网龙头ETF,WLWLTETF,2021-11-24,2200-01-01,etf
159897.XSHE,物联网ETF基金,WLETF,2021-06-21,2200-01-01,etf
159898.XSHE,医疗器械ETF招商,QXETF,2021-06-04,2200-01-01,etf
159899.XSHE,软件基金ETF,RJJJ,2021-06-28,2200-01-01,etf
159901.XSHE,深证100ETF易方达,S100ETF,2006-04-24,2200-01-01,etf
159902.XSHE,中小100ETF,ZXB,2006-09-05,2200-01-01,etf
159903.XSHE,深成ETF,SCETF,2010-02-02,2200-01-01,etf
159905.XSHE,深红利ETF,SHL,2011-01-11,2200-01-01,etf
159906.XSHE,深成长龙头ETF,SCZ,2011-02-23,2200-01-01,etf
159907.XSHE,中小300ETF,ZX300,2011-08-10,2200-01-01,etf
159908.XSHE,创业板ETF博时,SF200,2011-07-13,2200-01-01,etf
159909.XSHE,TMT50ETF,STMT,2011-09-01,2200-01-01,etf
159910.XSHE,基本面120ETF,SF120,2011-09-27,2200-01-01,etf
159911.XSHE,民营ETF,MYETF,2011-10-14,2020-06-18,etf
159912.XSHE,深300ETF,S300ETF,2011-11-24,2200-01-01,etf
159913.XSHE,深价值ETF,SJZ,2011-10-25,2200-01-01,etf
159915.XSHE,创业板ETF易方达,CYB,2011-12-09,2200-01-01,etf
159916.XSHE,深F60ETF,SF60,2011-10-24,2200-01-01,etf
159918.XSHE,中创400ETF,ZC400,2012-05-11,2200-01-01,etf
159919.XSHE,沪深300ETF,300ETF,2012-05-28,2200-01-01,etf
159920.XSHE,恒生ETF,HSETF,2012-10-22,2200-01-01,etf
159921.XSHE,中小等权,ZXDQ,2013-01-31,2017-11-07,etf
159922.XSHE,中证500ETF嘉实,500ETF,2013-03-15,2200-01-01,etf
159923.XSHE,中证100ETF,100ETF,2013-03-05,2200-01-01,etf
159924.XSHE,300等权,300DQ,2013-06-05,2018-03-19,etf
159925.XSHE,沪深300ETF南方,NF300,2013-04-11,2200-01-01,etf
159926.XSHE,国债ETF,GZETF,2013-08-05,2200-01-01,etf
159927.XSHE,A300ETF,A300ETF,2013-08-16,2018-02-13,etf
159928.XSHE,消费ETF,XFETF,2013-09-16,2200-01-01,etf
159929.XSHE,医药ETF,YYETF,2013-09-16,2200-01-01,etf
159930.XSHE,能源ETF,NYETF,2013-09-16,2200-01-01,etf
159931.XSHE,金融ETF,JRETF,2013-09-16,2200-01-01,etf
159932.XSHE,中证500深ETF,500SETF,2013-10-21,2200-01-01,etf
159933.XSHE,国投金融地产ETF,JDETF,2013-10-16,2200-01-01,etf
159934.XSHE,黄金ETF,HJETF,2013-12-16,2200-01-01,etf
159935.XSHE,景顺中证500ETF,JS500,2014-01-21,2200-01-01,etf
159936.XSHE,可选消费ETF,KXXF,2014-06-25,2200-01-01,etf
159937.XSHE,黄金ETF基金,BSHJ,2014-09-01,2200-01-01,etf
159938.XSHE,医药卫生ETF,GFYY,2015-01-08,2200-01-01,etf
159939.XSHE,信息技术ETF,XXJS,2015-02-05,2200-01-01,etf
159940.XSHE,金融ETF基金,QZJR,2015-04-17,2200-01-01,etf
159941.XSHE,纳指ETF,NZ100,2015-07-13,2200-01-01,etf
159942.XSHE,中创100,ZC100,2015-06-25,2018-11-05,etf
159943.XSHE,深证成指ETF,SZETF,2015-07-08,2200-01-01,etf
